COUNTY,ZIP,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
26089,49654,0.023401689,0.024475524,0.000000000,0.022934055
26089,49684,0.255488540,0.459790210,0.356164384,0.266486202
26089,49653,0.089344592,0.087412587,0.041095890,0.088202120
26089,49674,0.000000000,0.005244755,0.000000000,0.000225581
26091,49229,0.028360916,0.009268795,0.016846361,0.026862102
26091,49287,0.019179324,0.008925506,0.003369272,0.018079865
26091,49289,0.000000000,0.000000000,0.000673854,0.000020616
26091,49276,0.006053049,0.000686577,0.000673854,0.005566207
26091,49220,0.023101338,0.013731548,0.012803235,0.022223597
26091,49247,0.046293358,0.059045657,0.050539084,0.047189065
26091,49268,0.010995239,0.000686577,0.004716981,0.010184097
26091,49248,0.009022897,0.003432887,0.000673854,0.008431773
26091,49256,0.038653367,0.043597666,0.045822102,0.039169604
26091,49279,0.007730673,0.002403021,0.000673854,0.007194838
26091,49233,0.009408297,0.012015105,0.007412399,0.009503783
26091,49230,0.030174564,0.014761414,0.002695418,0.028408271
26091,49288,0.000816141,0.000343289,0.000000000,0.000762777
26091,49228,0.055021537,0.074150360,0.045148248,0.055868225
26091,49238,0.013965087,0.007552352,0.004043127,0.013276434
26091,49236,0.040852414,0.036731892,0.041778976,0.040633311
26091,49265,0.054205396,0.029179540,0.024258760,0.051786340
26091,49221,0.382248923,0.500514933,0.549191375,0.394458532
26091,49235,0.020494219,0.005835908,0.002021563,0.019048797
26091,49253,0.049036500,0.017164435,0.012129380,0.045993362
