Zip,Slab 1 - Medical Tax Credit V2,Slab 2 - Medical Tax Credit V2,Slab 3 - Medical Tax Credit V2,Slab 4 - Medical Tax Credit V2,Slab 5 - Medical Tax Credit V2,Slab 6 - Medical Tax Credit V2,Total Medical Tax Credit V2
97267,0.011826544,0.014454665,0.004599212,0.001971091,0,0,0.032851511
97301,0.012269939,0.012269939,0.003303445,0.001415762,0,0,0.029259084
97302,0.011847065,0.011847065,0.004308024,0.002154012,0,0,0.030156166
97303,0.008709853,0.011976048,0.004354927,0.002177463,0,0,0.027218291
97304,0.008947006,0.009635237,0.004129387,0.002752925,0,0,0.025464556
97305,0.007977208,0.010826211,0.003988604,0.001709402,0,0,0.024501425
97306,0.010518934,0.011921459,0.004908836,0.002103787,0,0,0.029453015
97317,0.008,0.011,0.007,0,0,0,0.026
97321,0.008888889,0.012592593,0.004444444,0.002222222,0,0,0.028148148
97322,0.012202954,0.012202954,0.005780347,0,0,0,0.030186256
97324,0,0,0,0,0,0,0
97325,0,0.022508039,0,0,0,0,0.022508039
97326,0,0,0,0,0,0,0
97327,0.015384615,0.023076923,0,0,0,0,0.038461538
97330,0.014168937,0.013079019,0.003814714,0.002179837,0,0,0.033242507
97331,0,0,0,0,0,0,0
97333,0.013114754,0.01420765,0.005464481,0.002185792,0,0,0.034972678
97338,0.012738854,0.010615711,0.006369427,0,0,0,0.029723992
97341,0.025,0.025,0,0,0,0,0.05
97342,0,0,0,0,0,0,0
97343,0,0,0,0,0,0,0
97344,0,0,0,0,0,0,0
97345,0,0,0,0,0,0,0
97346,0,0,0,0,0,0,0
97347,0,0,0,0,0,0,0
97348,0,0,0,0,0,0,0
97351,0.011235955,0.013483146,0.006741573,0,0,0,0.031460674
97352,0.010830325,0.018050542,0,0,0,0,0.028880866
97355,0.013056836,0.009984639,0.005376344,0.002304147,0,0,0.030721966
97357,0,0,0,0,0,0,0
97358,0,0.042372881,0,0,0,0,0.042372881
97360,0.021276596,0,0,0,0,0,0.021276596
